,id,price,side,datetime
84,113536.XSHG,124.91,0,2020-08-11T14:50:00.000000000
85,113536.XSHG,124.64,1,2020-08-13T14:49:00.000000000
86,132016.XSHG,116.0,0,2020-08-13T14:50:00.000000000
87,132016.XSHG,115.85,1,2020-08-27T14:49:00.000000000
88,113536.XSHG,124.42,0,2020-08-27T14:50:00.000000000
89,113536.XSHG,125.57,1,2020-08-31T14:49:00.000000000
90,132016.XSHG,114.9,0,2020-08-31T14:50:00.000000000
91,132016.XSHG,115.84,1,2020-09-07T14:49:00.000000000
92,113536.XSHG,123.87,0,2020-09-07T14:50:00.000000000
93,113536.XSHG,118.89,1,2020-09-11T14:49:00.000000000
94,123012.XSHE,127.32,0,2020-09-11T14:50:00.000000000
95,123012.XSHE,130.798,1,2020-09-15T14:49:00.000000000
96,123032.XSHE,126.851,0,2020-09-15T14:50:00.000000000
97,123032.XSHE,127.0,1,2020-09-16T14:49:00.000000000
98,113536.XSHG,117.55,0,2020-09-16T14:50:00.000000000
99,113536.XSHG,117.77,1,2020-09-18T14:49:00.000000000
100,123032.XSHE,126.88,0,2020-09-18T14:50:00.000000000
101,123032.XSHE,126.897,1,2020-09-22T14:49:00.000000000
102,132016.XSHG,116.0,0,2020-09-22T14:50:00.000000000
103,132016.XSHG,115.9,1,2020-09-23T14:49:00.000000000
104,123032.XSHE,127.673,0,2020-09-23T14:50:00.000000000
105,123032.XSHE,137.1,1,2020-10-13T14:49:00.000000000
106,132016.XSHG,115.9,0,2020-10-13T14:50:00.000000000
107,132016.XSHG,115.9,1,2020-10-15T14:49:00.000000000
108,113536.XSHG,120.9,0,2020-10-15T14:50:00.000000000
109,113536.XSHG,123.19,1,2020-10-20T14:49:00.000000000
110,132016.XSHG,115.9,0,2020-10-20T14:50:00.000000000
111,132016.XSHG,115.9,1,2020-10-30T14:49:00.000000000
112,113536.XSHG,123.32,0,2020-10-30T14:50:00.000000000
113,113536.XSHG,126.6,1,2020-11-02T14:49:00.000000000
114,123026.XSHE,127.848,0,2020-11-02T14:50:00.000000000
115,123026.XSHE,127.322,1,2020-11-10T14:49:00.000000000
116,113536.XSHG,127.1,0,2020-11-10T14:50:00.000000000
117,113536.XSHG,124.22,1,2020-11-11T14:49:00.000000000
118,123026.XSHE,124.333,0,2020-11-11T14:50:00.000000000
119,123026.XSHE,147.0,1,2020-11-16T14:49:00.000000000
120,113536.XSHG,126.18,0,2020-11-16T14:50:00.000000000
121,113536.XSHG,123.3,1,2020-12-03T14:49:00.000000000
122,132016.XSHG,115.8,0,2020-12-03T14:50:00.000000000
123,132016.XSHG,115.8,1,2020-12-07T14:49:00.000000000
124,113536.XSHG,121.55,0,2020-12-07T14:50:00.000000000
125,113536.XSHG,122.25,1,2020-12-09T14:49:00.000000000
126,113561.XSHG,124.2,0,2020-12-09T14:50:00.000000000
127,113561.XSHG,115.01,1,2020-12-11T14:49:00.000000000
128,113536.XSHG,120.2,0,2020-12-11T14:50:00.000000000
129,113536.XSHG,119.89,1,2020-12-14T14:49:00.000000000
130,113561.XSHG,114.42,0,2020-12-14T14:50:00.000000000
131,113561.XSHG,112.8,1,2020-12-16T14:49:00.000000000
132,113536.XSHG,115.58,0,2020-12-16T14:50:00.000000000
133,113536.XSHG,115.9,1,2020-12-18T14:49:00.000000000
134,113575.XSHG,120.09,0,2020-12-18T14:50:00.000000000
135,113575.XSHG,133.82,1,2020-12-31T14:49:00.000000000
136,132016.XSHG,108.5,0,2020-12-31T14:50:00.000000000
137,132016.XSHG,110.0,1,2021-01-08T14:49:00.000000000
138,113536.XSHG,110.46,0,2021-01-08T14:50:00.000000000
